From	Entry	Transmembrane	Transit peptide	Gene Ontology (cellular component)
Q8TF40	Q8TF40			cytoplasm [GO:0005737]; cytosol [GO:0005829]; lysosomal membrane [GO:0005765]
Q1ENB6	Q1ENB6			cytosol [GO:0005829]
Q9BZS1	Q9BZS1			chromatin [GO:0000785]; cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]
F4K2A1	F4K2A1			chloroplast [GO:0009507]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]
Q9SZL8	Q9SZL8			nucleus [GO:0005634]
O82533	O82533		"TRANSIT 1..?; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; chloroplast thylakoid [GO:0009534]; chloroplast thylakoid membrane [GO:0009535]; contractile ring [GO:0070938]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]
Q8UVD9	Q8UVD9			cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q99PF5	Q99PF5			cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; dendrite [GO:0030425]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]
Q6EWH2	Q6EWH2			cytosol [GO:0005829]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; nucleus [GO:0005634]
P53913	P53913			chromosome, telomeric region [GO:0000781]; nucleus [GO:0005634]
O60318	O60318			chromosome [GO:0005694]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear membrane [GO:0031965]; nuclear pore nuclear basket [GO:0044615]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription export complex 2 [GO:0070390]
Q7Z7B0	Q7Z7B0			actin cytoskeleton [GO:0015629]; cytosol [GO:0005829]; nucleolus [GO:0005730]; plasma membrane [GO:0005886]
Q6P8X9	Q6P8X9			apical plasma membrane [GO:0016324]; axonemal microtubule [GO:0005879]; ciliary basal body [GO:0036064]; cilium [GO:0005929]
P53233	P53233			cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
Q8W493	Q8W493		"TRANSIT 1..57; /note=""Chloroplast""; /evidence=""ECO:0000269|Ref.5"""	apoplast [GO:0048046]; chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; chloroplast thylakoid [GO:0009534]; chloroplast thylakoid membrane [GO:0009535]; chloroplast thylakoid membrane protein complex [GO:0098807]; nucleus [GO:0005634]; thylakoid [GO:0009579]
Q05932	Q05932		"TRANSIT 1..42; /note=""Mitochondrion""; /evidence=""ECO:0007744|PubMed:22814378"""	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
O00358	O00358			chromatin [GO:0000785]; nucleus [GO:0005634]
P32614	P32614			cytosol [GO:0005829]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]
Q9ASS2	Q9ASS2			ESCRT I complex [GO:0000813]; late endosome membrane [GO:0031902]; multivesicular body [GO:0005771]; nucleus [GO:0005634]
Q9C0B1	Q9C0B1			cytoplasm [GO:0005737]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
Q9FV81	Q9FV81			chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; glutamyl-tRNA(Gln) amidotransferase complex [GO:0030956]; mitochondrion [GO:0005739]
Q9UT77	Q9UT77			glutamyl-tRNA(Gln) amidotransferase complex [GO:0030956]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q9M365	Q9M365			nucleus [GO:0005634]
Q8BY35	Q8BY35			cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; early endosome [GO:0005769]; early endosome membrane [GO:0031901]; nucleus [GO:0005634]; ruffle [GO:0001726]; ruffle membrane [GO:0032587]
Q945P0	Q945P0			nucleus [GO:0005634]
Q5HY92	Q5HY92			cytoplasm [GO:0005737]; microtubule [GO:0005874]; microtubule organizing center [GO:0005815]; nuclear matrix [GO:0016363]
Q9LGE3	Q9LGE3			cytoplasm [GO:0005737]; nucleus [GO:0005634]
F4IMQ0	F4IMQ0			cytoplasm [GO:0005737]; nucleus [GO:0005634]
O35943	O35943		"TRANSIT 1..40; /note=""Mitochondrion""; /evidence=""ECO:0000250"""	cytosol [GO:0005829]; iron-sulfur cluster assembly complex [GO:1990229]; L-cysteine desulfurase complex [GO:1990221]; mitochondrion [GO:0005739]
Q3E7I5	Q3E7I5			nucleus [GO:0005634]
Q6NQJ7	Q6NQJ7			nucleus [GO:0005634]
Q5TBA9	Q5TBA9			cell cortex [GO:0005938]; microtubule organizing center [GO:0005815]; site of polarized growth [GO:0030427]; spindle pole [GO:0000922]
O95073	O95073			nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q75W17	Q75W17		"TRANSIT 1..66; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]
Q9H469	Q9H469			cytoplasm [GO:0005737]; cytosol [GO:0005829]; SCF ubiquitin ligase complex [GO:0019005]
